d,trt,plant,date
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-465-J025-HN_2022-04-21_14-43-03.050_6284700,HN,J025,2022-04-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-427-J004-LN_2022-04-26_14-58-26.191_6482200,LN,J004,2022-04-26
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-435-J012-LN_2022-07-13_13-41-18.500_8432500,LN,J012,2022-07-13
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-438-J014-LN_2022-06-02_11-41-44.967_7761100,LN,J014,2022-06-02
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-469-J029-LN_2022-05-05_18-38-34.447_6833900,LN,J029,2022-05-05
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-424-J001-LN_2022-05-31_14-04-37.458_7698900,LN,J001,2022-05-31
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-440-J016-LN_2022-05-31_14-47-42.188_7700500,LN,J016,2022-05-31
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-434-J011-HN_2022-05-31_14-29-42.818_7699900,HN,J011,2022-05-31
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-10_12-49-56.999_7023300,HN,J006,2022-05-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-433-J010-HN_2022-07-03_08-57-53.904_8206400,HN,J010,2022-07-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-432-J009-LN_2022-04-30_14-25-18.273_6636600,LN,J009,2022-04-30
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-425-J002-HN_2022-04-28_13-14-44.027_6562000,HN,J002,2022-04-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-425-J002-HN_2022-07-27_10-23-38.912_8888700,HN,J002,2022-07-27
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-474-J034-LN_2022-05-21_12-32-00.790_7393800,LN,J034,2022-05-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-445-J021-HN_2022-06-22_08-49-30.194_8065500,HN,J021,2022-06-22
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-473-J033-HN_2022-07-29_08-34-43.910_8965700,HN,J033,2022-07-29
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-466-J026-HN_2022-05-19_12-00-07.093_7331900,HN,J026,2022-05-19
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-470-J030-LN_2022-07-05_14-10-09.191_8247900,LN,J030,2022-07-05
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-437-J013-HN_2022-04-30_14-36-04.818_6637100,HN,J013,2022-04-30
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-474-J034-LN_2022-06-03_14-37-46.408_7794000,LN,J034,2022-06-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-424-J001-LN_2022-05-24_11-03-45.813_7481200,LN,J001,2022-05-24
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-442-J018-HN_2022-05-24_11-35-05.349_7483000,HN,J018,2022-05-24
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-441-J017-HN_2022-06-24_08-33-54.865_8087500,HN,J017,2022-06-24
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-425-J002-HN_2022-05-10_12-42-32.078_7022900,HN,J002,2022-05-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-438-J014-LN_2022-06-06_13-17-55.478_7838400,LN,J014,2022-06-06
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-467-J027-HN_2022-06-16_09-49-32.346_8000900,HN,J027,2022-06-16
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-427-J004-LN_2022-06-03_12-43-04.083_7789300,LN,J004,2022-06-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-445-J021-HN_2022-05-10_13-17-28.439_7024900,HN,J021,2022-05-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-434-J011-HN_2022-05-28_09-38-14.144_7593800,HN,J011,2022-05-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-466-J026-HN_2022-04-28_14-40-13.118_6566100,HN,J026,2022-04-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-468-J028-LN_2022-05-25_13-59-02.798_7520200,LN,J028,2022-05-25
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-427-J004-LN_2022-07-10_21-22-20.778_8365100,LN,J004,2022-07-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-445-J021-HN_2022-06-17_08-58-16.577_8009900,HN,J021,2022-06-17
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-465-J025-HN_2022-05-07_13-47-18.943_6912900,HN,J025,2022-05-07
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-434-J011-HN_2022-06-13_11-23-14.689_7956400,HN,J011,2022-06-13
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-476-J036-LN_2022-04-28_15-02-50.820_6567100,LN,J036,2022-04-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-440-J016-LN_2022-05-07_13-00-36.586_6910400,LN,J016,2022-05-07
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-471-J031-HN_2022-05-25_13-00-29.437_7517700,HN,J031,2022-05-25
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-435-J012-LN_2022-07-15_12-05-28.318_8494200,LN,J012,2022-07-15
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-430-J007-LN_2022-06-17_08-16-39.068_8008400,LN,J007,2022-06-17
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-433-J010-HN_2022-06-16_08-23-38.848_7997500,HN,J010,2022-06-16
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-448-J024-HN_2022-06-17_09-06-01.582_8010200,HN,J024,2022-06-17
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-465-J025-HN_2022-08-04_08-07-42.635_9190900,HN,J025,2022-08-04
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-427-J004-LN_2022-08-04_06-19-12.094_9187100,LN,J004,2022-08-04
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-468-J028-LN_2022-08-04_08-14-12.461_9191200,LN,J028,2022-08-04
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-438-J014-LN_2022-04-28_13-44-02.477_6563300,LN,J014,2022-04-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-469-J029-LN_2022-06-28_14-03-15.873_8116800,LN,J029,2022-06-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-440-J016-LN_2022-07-01_09-08-26.763_8165900,LN,J016,2022-07-01
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-447-J023-HN_2022-06-03_13-38-50.488_7791300,HN,J023,2022-06-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-433-J010-HN_2022-06-23_08-12-33.571_8075500,HN,J010,2022-06-23
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-476-J036-LN_2022-05-31_16-10-23.911_7704100,LN,J036,2022-05-31
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-438-J014-LN_2022-05-17_11-27-53.108_7266400,LN,J014,2022-05-17
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-466-J026-HN_2022-08-04_08-09-41.472_9191000,HN,J026,2022-08-04
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-448-J024-HN_2022-04-28_14-06-05.549_6564300,HN,J024,2022-04-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-445-J021-HN_2022-05-17_11-40-18.062_7267100,HN,J021,2022-05-17
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-431-J008-LN_2022-07-01_08-43-05.868_8165000,LN,J008,2022-07-01
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-446-J022-LN_2022-05-07_13-12-24.289_6911000,LN,J022,2022-05-07
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-445-J021-HN_2022-05-07_13-10-11.818_6910900,HN,J021,2022-05-07
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-472-J032-LN_2022-06-20_10-27-22.083_8043000,LN,J032,2022-06-20
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-443-J019-LN_2022-06-21_09-24-19.968_8051300,LN,J019,2022-06-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-442-J018-HN_2022-07-03_09-23-04.970_8207300,HN,J018,2022-07-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-07-15_11-51-14.995_8493600,HN,J006,2022-07-15
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-442-J018-HN_2022-06-06_13-26-57.563_7838800,HN,J018,2022-06-06
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-439-J015-LN_2022-08-04_06-49-57.909_9188300,LN,J015,2022-08-04
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-447-J023-HN_2022-05-05_17-37-39.063_6831700,HN,J023,2022-05-05
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-444-J020-LN_2022-06-03_13-30-24.964_7791000,LN,J020,2022-06-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-469-J029-LN_2022-06-15_09-55-16.103_7989900,LN,J029,2022-06-15
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-448-J024-HN_2022-06-16_09-05-58.492_7999000,HN,J024,2022-06-16
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-432-J009-LN_2022-07-25_06-31-55.222_8815200,LN,J009,2022-07-25
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-444-J020-LN_2022-07-29_07-06-17.386_8962800,LN,J020,2022-07-29
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-465-J025-HN_2022-06-23_09-34-37.002_8078700,HN,J025,2022-06-23
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-469-J029-LN_2022-07-27_12-23-36.098_8893100,LN,J029,2022-07-27
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-433-J010-HN_2022-04-30_14-28-06.376_6636700,HN,J010,2022-04-30
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-427-J004-LN_2022-06-29_14-51-19.014_8133400,LN,J004,2022-06-29
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-471-J031-HN_2022-06-13_12-55-38.609_7960100,HN,J031,2022-06-13
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-444-J020-LN_2022-06-21_09-27-08.987_8051400,LN,J020,2022-06-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-467-J027-HN_2022-05-17_12-18-18.926_7269300,HN,J027,2022-05-17
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-466-J026-HN_2022-05-14_17-56-08.181_7170900,HN,J026,2022-05-14
