d,trt,plant,date
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-432-J009-LN_2022-06-16_08-20-50.103_7997400,LN,J009,2022-06-16
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-05_16-59-37.414_6829900,HN,J006,2022-05-05
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-432-J009-LN_2022-06-21_08-52-52.506_8050200,LN,J009,2022-06-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-438-J014-LN_2022-07-19_11-52-36.803_8609700,LN,J014,2022-07-19
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-471-J031-HN_2022-06-02_12-55-37.083_7764300,HN,J031,2022-06-02
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-442-J018-HN_2022-06-23_08-38-51.777_8076400,HN,J018,2022-06-23
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-471-J031-HN_2022-07-13_15-05-03.196_8436100,HN,J031,2022-07-13
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-446-J022-LN_2022-06-16_08-59-46.555_7998800,LN,J022,2022-06-16
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-424-J001-LN_2022-07-19_11-16-26.111_8608300,LN,J001,2022-07-19
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-439-J015-LN_2022-05-17_11-29-36.379_7266500,LN,J015,2022-05-17
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-446-J022-LN_2022-05-10_13-19-11.505_7025000,LN,J022,2022-05-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-438-J014-LN_2022-06-20_09-04-23.638_8039600,LN,J014,2022-06-20
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-448-J024-HN_2022-06-20_09-31-56.941_8040600,HN,J024,2022-06-20
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-468-J028-LN_2022-04-21_14-48-16.544_6285000,LN,J028,2022-04-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-473-J033-HN_2022-08-02_08-32-06.451_9108200,HN,J033,2022-08-02
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-445-J021-HN_2022-06-23_08-47-17.920_8076700,HN,J021,2022-06-23
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-471-J031-HN_2022-06-24_09-48-26.512_8090500,HN,J031,2022-06-24
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-432-J009-LN_2022-07-09_13-13-28.190_8339200,LN,J009,2022-07-09
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-443-J019-LN_2022-05-05_17-29-16.083_6831300,LN,J019,2022-05-05
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-448-J024-HN_2022-07-19_12-19-47.496_8610700,HN,J024,2022-07-19
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-475-J035-HN_2022-05-10_14-11-08.698_7027900,HN,J035,2022-05-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-473-J033-HN_2022-06-22_09-57-59.114_8068300,HN,J033,2022-06-22
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-475-J035-HN_2022-06-22_10-03-36.348_8068500,HN,J035,2022-06-22
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-24_11-12-21.740_7481700,HN,J006,2022-05-24
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-425-J002-HN_2022-05-28_09-14-11.672_7592900,HN,J002,2022-05-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-465-J025-HN_2022-05-12_12-52-38.100_7096400,HN,J025,2022-05-12
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-431-J008-LN_2022-07-27_10-39-10.431_8889300,LN,J008,2022-07-27
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-476-J036-LN_2022-06-28_14-22-58.168_8117500,LN,J036,2022-06-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-434-J011-HN_2022-07-19_11-42-50.440_8609300,HN,J011,2022-07-19
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-427-J004-LN_2022-05-12_11-45-14.243_7092600,LN,J004,2022-05-12
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-475-J035-HN_2022-06-10_12-50-34.635_7911700,HN,J035,2022-06-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-426-J003-HN_2022-07-05_11-59-43.611_8243500,HN,J003,2022-07-05
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-465-J025-HN_2022-06-06_14-23-14.188_7841100,HN,J025,2022-06-06
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-472-J032-LN_2022-06-03_14-32-10.188_7793800,LN,J032,2022-06-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-438-J014-LN_2022-06-14_11-16-12.760_7973600,LN,J014,2022-06-14
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-447-J023-HN_2022-07-05_12-58-39.610_8245600,HN,J023,2022-07-05
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-467-J027-HN_2022-06-06_14-27-49.973_7841300,HN,J027,2022-06-06
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-435-J012-LN_2022-05-24_11-23-03.608_7482300,LN,J012,2022-05-24
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-468-J028-LN_2022-06-13_12-47-56.343_7959800,LN,J028,2022-06-13
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-465-J025-HN_2022-04-30_15-47-49.965_6639900,HN,J025,2022-04-30
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-431-J008-LN_2022-05-28_09-30-25.708_7593500,LN,J008,2022-05-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-06-10_10-50-25.831_7907100,HN,J006,2022-06-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-437-J013-HN_2022-06-10_11-15-09.123_7907900,HN,J013,2022-06-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-432-J009-LN_2022-04-23_13-58-01.302_6362400,LN,J009,2022-04-23
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-473-J033-HN_2022-05-10_14-07-42.149_7027700,HN,J033,2022-05-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-430-J007-LN_2022-07-13_13-28-08.358_8432000,LN,J007,2022-07-13
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-470-J030-LN_2022-06-20_10-22-19.829_8042800,LN,J030,2022-06-20
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-424-J001-LN_2022-04-21_13-39-50.800_6280600,LN,J001,2022-04-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-468-J028-LN_2022-07-11_13-11-19.293_8369600,LN,J028,2022-07-11
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-443-J019-LN_2022-06-06_13-29-46.243_7838900,LN,J019,2022-06-06
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-468-J028-LN_2022-07-05_14-05-15.970_8247700,LN,J028,2022-07-05
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-471-J031-HN_2022-06-28_14-08-53.951_8117000,HN,J031,2022-06-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-426-J003-HN_2022-07-10_21-18-02.172_8365000,HN,J003,2022-07-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-427-J004-LN_2022-07-29_06-19-00.573_8961100,LN,J004,2022-07-29
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-467-J027-HN_2022-04-26_13-52-07.864_6480900,HN,J027,2022-04-26
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-474-J034-LN_2022-05-07_14-05-45.858_6913800,LN,J034,2022-05-07
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-471-J031-HN_2022-05-05_18-43-00.677_6834100,HN,J031,2022-05-05
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-465-J025-HN_2022-07-19_13-14-26.802_8612400,HN,J025,2022-07-19
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-433-J010-HN_2022-04-23_13-59-56.848_6362500,HN,J010,2022-04-23
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-469-J029-LN_2022-04-28_14-47-22.084_6566400,LN,J029,2022-04-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-472-J032-LN_2022-06-02_12-58-25.491_7764400,LN,J032,2022-06-02
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-428-J005-HN_2022-05-14_11-54-36.210_7167100,HN,J005,2022-05-14
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-426-J003-HN_2022-07-21_10-44-48.925_8675200,HN,J003,2022-07-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-441-J017-HN_2022-06-06_13-24-04.772_7838700,HN,J017,2022-06-06
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-434-J011-HN_2022-07-13_13-38-10.636_8432400,HN,J011,2022-07-13
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-06-15_08-12-14.319_7985900,HN,J006,2022-06-15
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-476-J036-LN_2022-06-17_10-09-29.573_8013000,LN,J036,2022-06-17
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-467-J027-HN_2022-05-25_13-56-44.182_7520100,HN,J027,2022-05-25
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-447-J023-HN_2022-05-14_12-27-34.697_7169000,HN,J023,2022-05-14
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-465-J025-HN_2022-05-17_12-15-26.789_7269100,HN,J025,2022-05-17
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-445-J021-HN_2022-07-29_07-09-06.974_8962900,HN,J021,2022-07-29
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-433-J010-HN_2022-06-15_08-23-28.730_7986300,HN,J010,2022-06-15
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-447-J023-HN_2022-05-19_11-26-33.854_7330000,HN,J023,2022-05-19
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-435-J012-LN_2022-06-15_08-29-06.588_7986500,LN,J012,2022-06-15
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-470-J030-LN_2022-06-17_09-54-42.599_8012400,LN,J030,2022-06-17
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-448-J024-HN_2022-07-09_13-59-58.446_8340800,HN,J024,2022-07-09
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-425-J002-HN_2022-07-25_06-12-50.219_8814500,HN,J002,2022-07-25
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-473-J033-HN_2022-04-26_14-03-47.408_6481500,HN,J033,2022-04-26
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-445-J021-HN_2022-07-19_12-11-16.891_8610400,HN,J021,2022-07-19
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-476-J036-LN_2022-07-03_10-58-05.219_8210700,LN,J036,2022-07-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-446-J022-LN_2022-05-21_11-41-41.708_7391000,LN,J022,2022-05-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-430-J007-LN_2022-06-16_08-15-12.944_7997200,LN,J007,2022-06-16
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-442-J018-HN_2022-05-31_14-52-34.941_7700700,HN,J018,2022-05-31
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-438-J014-LN_2022-07-10_21-52-50.007_8366200,LN,J014,2022-07-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-475-J035-HN_2022-07-13_15-15-06.958_8436500,HN,J035,2022-07-13
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-442-J018-HN_2022-06-24_08-37-05.153_8087600,HN,J018,2022-06-24
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-473-J033-HN_2022-05-07_14-03-32.540_6913700,HN,J033,2022-05-07
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-475-J035-HN_2022-04-28_15-00-38.407_6567000,HN,J035,2022-04-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-426-J003-HN_2022-06-21_08-38-07.125_8049600,HN,J003,2022-06-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-469-J029-LN_2022-07-11_13-13-19.815_8369700,LN,J029,2022-07-11
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-430-J007-LN_2022-05-28_09-27-37.640_7593400,LN,J007,2022-05-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-441-J017-HN_2022-07-01_09-10-26.297_8166000,HN,J017,2022-07-01
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-475-J035-HN_2022-06-02_13-06-49.877_7764700,HN,J035,2022-06-02
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-428-J005-HN_2022-04-28_13-21-53.121_6562300,HN,J005,2022-04-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-472-J032-LN_2022-06-23_09-51-19.582_8079400,LN,J032,2022-06-23
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-474-J034-LN_2022-04-23_15-14-09.368_6366600,LN,J034,2022-04-23
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-441-J017-HN_2022-07-19_12-01-26.187_8610000,HN,J017,2022-07-19
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-466-J026-HN_2022-07-19_13-16-26.532_8612500,HN,J026,2022-07-19
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-471-J031-HN_2022-06-06_14-36-50.023_7841700,HN,J031,2022-06-06
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-431-J008-LN_2022-06-20_08-43-27.115_8038900,LN,J008,2022-06-20
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-444-J020-LN_2022-06-14_11-33-08.326_7974200,LN,J020,2022-06-14
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-448-J024-HN_2022-06-15_09-08-10.802_7987800,HN,J024,2022-06-15
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-08-04_06-23-22.016_9187300,HN,J006,2022-08-04
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-442-J018-HN_2022-05-05_17-27-02.080_6831200,HN,J018,2022-05-05
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-432-J009-LN_2022-05-07_12-45-37.459_6909600,LN,J009,2022-05-07
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-430-J007-LN_2022-06-02_11-16-15.430_7760300,LN,J007,2022-06-02
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-426-J003-HN_2022-05-14_11-50-34.276_7166900,HN,J003,2022-05-14
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-472-J032-LN_2022-04-26_14-01-52.178_6481400,LN,J032,2022-04-26
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-474-J034-LN_2022-06-06_14-45-15.903_7842000,LN,J034,2022-06-06
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-433-J010-HN_2022-07-01_08-48-02.559_8165200,HN,J010,2022-07-01
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-469-J029-LN_2022-06-03_14-23-44.720_7793500,LN,J029,2022-06-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-427-J004-LN_2022-05-26_11-10-08.191_7547300,LN,J004,2022-05-26
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-439-J015-LN_2022-04-28_13-46-15.752_6563400,LN,J015,2022-04-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-26_11-14-21.733_7547500,HN,J006,2022-05-26
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-424-J001-LN_2022-06-03_12-37-09.848_7789000,LN,J001,2022-06-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-468-J028-LN_2022-05-07_13-53-13.354_6913200,LN,J028,2022-05-07
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-445-J021-HN_2022-07-01_09-21-23.998_8166400,HN,J021,2022-07-01
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-445-J021-HN_2022-06-24_08-44-44.823_8087900,HN,J021,2022-06-24
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-433-J010-HN_2022-06-21_08-55-41.210_8050300,HN,J010,2022-06-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-472-J032-LN_2022-05-26_12-26-05.543_7551800,LN,J032,2022-05-26
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-445-J021-HN_2022-04-28_13-59-48.304_6564000,HN,J021,2022-04-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-444-J020-LN_2022-05-10_13-15-45.326_7024800,LN,J020,2022-05-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-470-J030-LN_2022-05-25_14-02-28.202_7520400,LN,J030,2022-05-25
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-446-J022-LN_2022-07-05_12-55-46.671_8245500,LN,J022,2022-07-05
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-447-J023-HN_2022-06-08_13-40-09.162_7874000,HN,J023,2022-06-08
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-441-J017-HN_2022-06-21_09-18-37.933_8051100,HN,J017,2022-06-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-424-J001-LN_2022-05-21_11-03-42.359_7388800,LN,J001,2022-05-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-466-J026-HN_2022-07-11_13-07-09.666_8369400,HN,J026,2022-07-11
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-438-J014-LN_2022-08-02_06-46-53.691_9104700,LN,J014,2022-08-02
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-435-J012-LN_2022-05-05_17-11-28.296_6830500,LN,J012,2022-05-05
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-448-J024-HN_2022-07-01_09-28-32.700_8166700,HN,J024,2022-07-01
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-465-J025-HN_2022-06-03_14-13-13.768_7793100,HN,J025,2022-06-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-441-J017-HN_2022-06-17_08-46-57.496_8009500,HN,J017,2022-06-17
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-441-J017-HN_2022-07-03_09-19-44.807_8207200,HN,J017,2022-07-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-472-J032-LN_2022-06-22_09-55-10.073_8068200,LN,J032,2022-06-22
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-465-J025-HN_2022-06-20_10-12-01.084_8042300,HN,J025,2022-06-20
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-446-J022-LN_2022-07-29_07-11-56.374_8963000,LN,J022,2022-07-29
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-438-J014-LN_2022-05-26_11-30-11.705_7548400,LN,J014,2022-05-26
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-476-J036-LN_2022-06-24_10-01-52.452_8091000,LN,J036,2022-06-24
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-469-J029-LN_2022-06-02_12-50-00.810_7764100,LN,J029,2022-06-02
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-433-J010-HN_2022-05-17_11-19-17.369_7265900,HN,J010,2022-05-17
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-437-J013-HN_2022-06-03_13-13-03.686_7790300,HN,J013,2022-06-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-473-J033-HN_2022-07-03_10-50-57.000_8210400,HN,J033,2022-07-03
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-430-J007-LN_2022-06-21_08-47-10.614_8050000,LN,J007,2022-06-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-435-J012-LN_2022-06-29_12-41-01.552_8130600,LN,J012,2022-06-29
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-441-J017-HN_2022-05-07_13-02-34.968_6910500,HN,J017,2022-05-07
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-476-J036-LN_2022-06-16_10-12-33.274_8001800,LN,J036,2022-06-16
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-476-J036-LN_2022-04-23_15-17-58.820_6366800,LN,J036,2022-04-23
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-425-J002-HN_2022-04-26_14-52-21.310_6482000,HN,J002,2022-04-26
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-440-J016-LN_2022-06-15_08-45-27.398_7987000,LN,J016,2022-06-15
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-448-J024-HN_2022-06-06_13-43-49.786_7839400,HN,J024,2022-06-06
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-467-J027-HN_2022-06-13_12-46-37.948_7959700,HN,J027,2022-06-13
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-468-J028-LN_2022-07-29_08-21-22.720_8965200,LN,J028,2022-07-29
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-469-J029-LN_2022-06-20_10-20-10.540_8042700,LN,J029,2022-06-20
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-424-J001-LN_2022-06-22_07-50-56.205_8063400,LN,J001,2022-06-22
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-471-J031-HN_2022-04-26_13-59-57.386_6481300,HN,J031,2022-04-26
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-443-J019-LN_2022-05-28_09-58-32.089_7594700,LN,J019,2022-05-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-466-J026-HN_2022-05-25_12-50-27.934_7517200,HN,J026,2022-05-25
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-470-J030-LN_2022-07-09_12-12-57.652_8337400,LN,J030,2022-07-09
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-445-J021-HN_2022-05-14_12-24-08.440_7168800,HN,J021,2022-05-14
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-446-J022-LN_2022-04-21_14-22-01.275_6282800,LN,J022,2022-04-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-466-J026-HN_2022-06-06_14-25-03.772_7841200,HN,J026,2022-06-06
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-440-J016-LN_2022-05-10_13-08-52.602_7024400,LN,J016,2022-05-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-443-J019-LN_2022-05-21_11-36-31.756_7390700,LN,J019,2022-05-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-433-J010-HN_2022-05-12_11-55-36.780_7093200,HN,J010,2022-05-12
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-474-J034-LN_2022-07-19_13-35-51.195_8613300,LN,J034,2022-07-19
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-467-J027-HN_2022-08-02_08-16-38.736_9107600,HN,J027,2022-08-02
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-465-J025-HN_2022-06-13_12-42-01.615_7959500,HN,J025,2022-06-13
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-435-J012-LN_2022-05-10_13-00-16.664_7023900,LN,J012,2022-05-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-432-J009-LN_2022-04-21_13-55-11.312_6281400,LN,J009,2022-04-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-470-J030-LN_2022-06-02_12-52-48.269_7764200,LN,J030,2022-06-02
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-433-J010-HN_2022-05-10_12-56-49.328_7023700,HN,J010,2022-05-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-430-J007-LN_2022-05-21_11-13-57.034_7389400,LN,J007,2022-05-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-444-J020-LN_2022-06-02_11-56-24.122_7761600,LN,J020,2022-06-02
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-472-J032-LN_2022-07-13_15-08-11.186_8436200,LN,J032,2022-07-13
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-443-J019-LN_2022-04-26_15-28-41.146_6483800,LN,J019,2022-04-26
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-444-J020-LN_2022-05-12_12-15-01.175_7094300,LN,J020,2022-05-12
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-439-J015-LN_2022-07-09_13-36-07.781_8339900,LN,J015,2022-07-09
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-432-J009-LN_2022-05-26_11-19-31.640_7547800,LN,J009,2022-05-26
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-430-J007-LN_2022-07-21_10-56-27.580_8675600,LN,J007,2022-07-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-469-J029-LN_2022-07-29_08-23-23.286_8965300,LN,J029,2022-07-29
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-434-J011-HN_2022-05-24_11-21-20.483_7482200,HN,J011,2022-05-24
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-433-J010-HN_2022-06-10_11-00-55.298_7907500,HN,J010,2022-06-10
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-435-J012-LN_2022-05-21_11-22-33.861_7389900,LN,J012,2022-05-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-444-J020-LN_2022-05-21_11-38-14.608_7390800,LN,J020,2022-05-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-467-J027-HN_2022-04-23_15-00-38.892_6365900,HN,J027,2022-04-23
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-445-J021-HN_2022-08-04_07-05-58.393_9188900,HN,J021,2022-08-04
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-424-J001-LN_2022-06-29_14-43-03.326_8133100,LN,J001,2022-06-29
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-424-J001-LN_2022-05-07_12-31-39.961_6908800,LN,J001,2022-05-07
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-446-J022-LN_2022-07-09_13-54-20.249_8340600,LN,J022,2022-07-09
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-447-J023-HN_2022-06-20_09-29-04.120_8040500,HN,J023,2022-06-20
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-472-J032-LN_2022-06-28_14-11-42.692_8117100,LN,J032,2022-06-28
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-447-J023-HN_2022-06-22_08-55-07.383_8065700,HN,J023,2022-06-22
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-424-J001-LN_2022-08-02_06-10-54.343_9103300,LN,J001,2022-08-02
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-467-J027-HN_2022-07-09_12-03-43.690_8337100,HN,J027,2022-07-09
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-467-J027-HN_2022-06-22_09-42-18.174_8067700,HN,J027,2022-06-22
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-437-J013-HN_2022-06-02_11-38-59.796_7761000,HN,J013,2022-06-02
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-470-J030-LN_2022-05-21_12-25-07.152_7393400,LN,J030,2022-05-21
Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-439-J015-LN_2022-06-16_08-41-58.219_7998100,LN,J015,2022-06-16
