plant,trt,date,d,png,PlantHeight,PlantWidth,PixelCount,ExG,VEG,ExGSS,machine
J006,HN,1650517200.0,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-04-21_13-49-19.738_6281100,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-04-21_13-49-19.738_6281100/Vis_SV_108/0_0_0.png.sml.png,67,48,538,0.19773540727733618,1.2277397146008964,143.11779676347354,Vis_SV_108
J006,HN,1650690000.0,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-04-23_13-52-16.209_6362100,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-04-23_13-52-16.209_6362100/Vis_SV_108/0_0_0.png.sml.png,72,43,653,0.1912278956196652,1.2471267191905688,16.436918894370102,Vis_SV_108
J006,HN,1651122000.0,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-04-28_13-24-06.248_6562400,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-04-28_13-24-06.248_6562400/Vis_SV_108/0_0_0.png.sml.png,78,44,723,0.1887578979339537,1.2296181268341388,53.78880490026948,Vis_SV_108
J006,HN,1651294800.0,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-04-30_14-16-52.432_6636300,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-04-30_14-16-52.432_6636300/Vis_SV_108/0_0_0.png.sml.png,81,37,848,0.21522060350725164,1.2471955421078578,116.43723307588343,Vis_SV_108
J006,HN,1651726800.0,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-05_16-59-37.414_6829900,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-05_16-59-37.414_6829900/Vis_SV_108/0_0_0.png.sml.png,111,72,1420,0.16136535069904911,1.2212284705958167,83.84637436357707,Vis_SV_108
J006,HN,1651899600.0,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-07_12-40-27.381_6909300,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-07_12-40-27.381_6909300/Vis_SV_108/0_0_0.png.sml.png,118,83,1743,0.2007902576842486,1.1976652448292182,411.7677306679087,Vis_SV_108
J006,HN,1652158800.0,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-10_12-49-56.999_7023300,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-10_12-49-56.999_7023300/Vis_SV_108/0_0_0.png.sml.png,128,101,2170,0.21071986064455508,1.1904804521496541,602.4431109697988,Vis_SV_108
J006,HN,1652331600.0,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-12_11-48-44.369_7092800,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-12_11-48-44.369_7092800/Vis_SV_108/0_0_0.png.sml.png,137,106,2683,0.20822456747022186,1.1964584084234784,916.3588828674252,Vis_SV_108
J006,HN,1652504400.0,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-14_11-56-20.159_7167200,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-14_11-56-20.159_7167200/Vis_SV_108/0_0_0.png.sml.png,146,113,3185,0.23095824357353245,1.1973676642488797,3339.408687320036,Vis_SV_108
J006,HN,1652763600.0,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-17_11-12-25.304_7265500,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-17_11-12-25.304_7265500/Vis_SV_108/0_0_0.png.sml.png,167,113,3828,0.17241439161793728,1.2033859008507315,493.81876248445406,Vis_SV_108
J006,HN,1652936400.0,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-19_10-52-30.244_7328200,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-19_10-52-30.244_7328200/Vis_SV_108/0_0_0.png.sml.png,172,120,3917,0.1840306583767439,1.2141361376539341,621.4788685122935,Vis_SV_108
J006,HN,1653109200.0,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-21_11-12-13.731_7389300,Sorghumnutrient/4-20-22-Jinliang-Nutrient_420-429-J006-HN_2022-05-21_11-12-13.731_7389300/Vis_SV_108/0_0_0.png.sml.png,179,99,3761,0.19420349540899243,1.226974911386814,1566.3401709048967,Vis_SV_108
